,meta_pin,meta_year,meta_class,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
384183,13242120110000,2020.0,278,3941.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69101084209055,41.947892254006
384184,13242120120000,2020.0,278,4390.0,14.0,13.0,4.0,1.0,3.0,1.0,3014.0,-87.69089051126106,41.94789135642959
384185,13242130010000,2020.0,278,4256.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.6921489434334,41.94734634370567
384186,13242130020000,2020.0,278,3936.0,14.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69203036234431,41.94734659896208
384187,13242130030000,2020.0,278,3936.0,14.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69191641300692,41.947346844286294
384188,13242130040000,2020.0,278,3936.0,14.0,13.0,4.0,1.0,3.0,1.0,3014.0,-87.69180246322524,41.947347090088414
384189,13242130050000,2020.0,278,3936.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69168851355957,41.94734733417488
384190,13242130060000,2020.0,278,3936.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.6915745641582,41.94734757930005
384191,13242130070000,2020.0,278,3936.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69146061463675,41.94734782405424
384192,13242130080000,2020.0,278,3936.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69134666509892,41.94734806852755
384193,13242130090000,2020.0,278,3936.0,14.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69123271579417,41.94734831312321
384194,13242130100000,2020.0,278,3936.0,14.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69111876652165,41.94734855712997
384195,13242130110000,2020.0,278,3936.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69100481644232,41.9473488011511
384196,13242130120000,2020.0,278,4738.0,14.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69087923002613,41.947347646818784
432566,14191000180000,2020.0,206,3720.0,94.0,10.0,5.0,0.0,3.0,0.0,3280.0,-87.68760025248437,41.95304626231353
432572,14191010090000,2020.0,278,3710.0,9.0,10.0,5.0,2.0,3.0,0.0,3218.0,-87.68689979389394,41.95347659872962
432573,14191010100000,2020.0,205,3720.0,117.0,7.0,4.0,0.0,1.0,1.0,1562.0,-87.6868964737814,41.95339388614592
432574,14191010110000,2020.0,204,3720.0,97.0,8.0,3.0,0.0,2.0,1.0,2291.0,-87.68689381061006,41.953311008912614
432575,14191010120000,2020.0,278,3720.0,14.0,8.0,4.0,1.0,2.0,1.0,2717.0,-87.68689117417706,41.95322811997796
432576,14191010130000,2020.0,278,3720.0,6.0,10.0,5.0,2.0,5.0,1.0,3280.0,-87.68688851949037,41.95314525727314
432578,14191010150000,2020.0,205,3720.0,116.0,9.0,4.0,1.0,2.0,1.0,1865.0,-87.68688328904366,41.95297954458798
432580,14191010170000,2020.0,205,3720.0,118.0,6.0,3.0,0.0,1.0,1.0,1587.0,-87.68687797202176,41.95281380684568
432581,14191010180000,2020.0,204,3720.0,117.0,8.0,4.0,0.0,3.0,1.0,1805.0,-87.68687529111618,41.952730958245546
432582,14191010190000,2020.0,203,3720.0,117.0,7.0,4.0,0.0,1.0,1.0,1374.0,-87.68687268010774,41.952648080414015
432583,14191010200000,2020.0,278,3720.0,14.0,8.0,4.0,2.0,3.0,1.0,3576.0,-87.68687008862692,41.95256520616921
432585,14191010240000,2020.0,204,3720.0,122.0,7.0,3.0,0.0,1.0,1.0,1990.0,-87.68636836887495,41.95340085882211
432587,14191010260000,2020.0,278,3720.0,3.0,12.0,7.0,2.0,4.0,2.0,3104.0,-87.68636314423605,41.95323512029388
432588,14191010270000,2020.0,203,3720.0,122.0,7.0,4.0,0.0,2.0,0.0,1764.0,-87.68636055141135,41.953152271175625
